"lon","lat","species.name"
-103.491252,43.52506,"Potentilla concinna"
-103.488377,43.523948,"Potentilla concinna"
-105.998631299933,38.6583865076649,"Potentilla concinna"
-105.99141,38.64634,"Potentilla concinna"
-108.098306,37.464059,"Potentilla concinna"
-114.384153,51.171038,"Potentilla concinna"
-118.13383,37.50932,"Potentilla concinna"
-100.219681,24.877694,"Potentilla concinna"
-100.232088,24.872712,"Potentilla concinna"
-106.86052,37.67401,"Potentilla concinna"
-100.230074,24.87355,"Potentilla concinna"
-110.09342,40.96056,"Potentilla concinna"
-111.3344,38.1072,"Potentilla concinna"
-105.243833,37.032917,"Potentilla concinna"
-107.533931,37.79119,"Potentilla concinna"
-100.230545,24.875613,"Potentilla concinna"
0,0,"Potentilla concinna"
-112.286389,37.594444,"Potentilla concinna"
-110.333333,49.533333,"Potentilla concinna"
-111.8714,37.7333,"Potentilla concinna"
-110.51,39.92,"Potentilla concinna"
-65.660758,31.233477,"Potentilla concinna"
-105.713081,38.137399,"Potentilla concinna"
-105.715701,38.129938,"Potentilla concinna"
-111.690556,38.11,"Potentilla concinna"
-111.865278,38.004167,"Potentilla concinna"
-113.9,38.29,"Potentilla concinna"
-110.85,38.083333,"Potentilla concinna"
-111.5825,37.969167,"Potentilla concinna"
-106.016389,38.45222,"Potentilla concinna"
-111.66,38.19,"Potentilla concinna"
-114.65,39.27,"Potentilla concinna"
-100.231667,24.868333,"Potentilla concinna"
-105.381093,39.848159,"Potentilla concinna"
-105.381093,39.848158,"Potentilla concinna"
-113.016667,49.016667,"Potentilla concinna"
-106.155206,38.994852,"Potentilla concinna"
-100.232101,24.873663,"Potentilla concinna"
-100.243611,24.872222,"Potentilla concinna"
-111.53,38.16,"Potentilla concinna"
-112.58,37.59,"Potentilla concinna"
-100.232,24.868,"Potentilla concinna"
-117.32,38.94,"Potentilla concinna"
-100.553056,25.374167,"Potentilla concinna"
-107.1929,39.6878,"Potentilla concinna"
-114.183333,39.283333,"Potentilla concinna"
-114.205556,39.288889,"Potentilla concinna"
-110.58,39.96,"Potentilla concinna"
-113.42,41.91,"Potentilla concinna"
-110.94,39.82,"Potentilla concinna"
-99.5173011142029,49.6498868151933,"Potentilla concinna"
-98.318139,49.011361,"Potentilla concinna"
-111.91,38.04,"Potentilla concinna"
-100.3675,25.243611,"Potentilla concinna"
-111.33,38.96,"Potentilla concinna"
-100.368,25.244,"Potentilla concinna"
-111.33,38.98,"Potentilla concinna"
-100.85,25.467,"Potentilla concinna"
-111.48,38.58,"Potentilla concinna"
-112.82,37.68,"Potentilla concinna"
-114.31,38.92,"Potentilla concinna"
-112.21,37.59,"Potentilla concinna"
-114.61,39.17,"Potentilla concinna"
-111.91,37.82,"Potentilla concinna"
-114.62,39.17,"Potentilla concinna"
-112.35,38.35,"Potentilla concinna"
-113.58,38.26,"Potentilla concinna"
-118.1529,37.5637,"Potentilla concinna"
-112.39,38.36,"Potentilla concinna"
-112.69,37.7,"Potentilla concinna"
-111.59,38.22,"Potentilla concinna"
-118.1529,37.563699999088,"Potentilla concinna"
-97.2719,49.8878,"Potentilla concinna"
-111.55,38.16,"Potentilla concinna"
-113.58,38.3,"Potentilla concinna"
-110.64,40.47,"Potentilla concinna"
-111.692,40.5429,"Potentilla concinna"
-111.692222,40.542778,"Potentilla concinna"
-110.43,39.89,"Potentilla concinna"
-110.45,39.89,"Potentilla concinna"
-113.45,41.92,"Potentilla concinna"
-111.23,39.49,"Potentilla concinna"
-111.04,39.52,"Potentilla concinna"
-114.74,38.7,"Potentilla concinna"
-116.85,42.57,"Potentilla concinna"
-116.8,42.6,"Potentilla concinna"
-110.77,41.16,"Potentilla concinna"
-105.246,36.2942,"Potentilla concinna"
-99.5833045438185,49.7668869032368,"Potentilla concinna"
-114.606944,39.18,"Potentilla concinna"
-114.606944,39.183333,"Potentilla concinna"
-116.966667,38.666667,"Potentilla concinna"
-116.97,38.67,"Potentilla concinna"
-114.4884,51.5448,"Potentilla concinna"
-117.32,38.95,"Potentilla concinna"
-117.17,39.16,"Potentilla concinna"
-100.592558,25.433333,"Potentilla concinna"
-105.593804,39.63632,"Potentilla concinna"
-105.593804,39.636319,"Potentilla concinna"
-111.45,38.12,"Potentilla concinna"
-112.14,38.02,"Potentilla concinna"
-106.037307,39.33354,"Potentilla concinna"
-106.037307,39.333541,"Potentilla concinna"
-105.439768,41.233759,"Potentilla concinna"
-111.5677,48.9356,"Potentilla concinna"
-105.104612,39.082473,"Potentilla concinna"
-105.104611,39.082473,"Potentilla concinna"
-100.241667,24.866667,"Potentilla concinna"
-113.816667,49.116667,"Potentilla concinna"
-113.9,49.116667,"Potentilla concinna"
-113.833333,50.116667,"Potentilla concinna"
-113.833333,49.083333,"Potentilla concinna"
-105.898821,40.164737,"Potentilla concinna"
-105.898822,40.164738,"Potentilla concinna"
-113.95,49.116667,"Potentilla concinna"
-104.379359802266,44.1426040488299,"Potentilla concinna"
-113.866667,49.083333,"Potentilla concinna"
-100.216667,24.866667,"Potentilla concinna"
-113.866667,49.15,"Potentilla concinna"
-113.85,49.116667,"Potentilla concinna"
-113.983333,49.166667,"Potentilla concinna"
-113.933333,49.166667,"Potentilla concinna"
-100.244,24.867,"Potentilla concinna"
-113.933333,49.083333,"Potentilla concinna"
-113.916667,49.1,"Potentilla concinna"
-114,49.083333,"Potentilla concinna"
-114.283333,49.35,"Potentilla concinna"
-114.360824,50.552441,"Potentilla concinna"
-114.936324,50.6082379990751,"Potentilla concinna"
-110.1631,49.5539,"Potentilla concinna"
-109.466667,45.016667,"Potentilla concinna"
-114.94,39.14,"Potentilla concinna"
-109.43,44.98,"Potentilla concinna"
-111.7,38.01,"Potentilla concinna"
-110.34,39.87,"Potentilla concinna"
-115.397149,51.35324,"Potentilla concinna"
-116.93,38.75,"Potentilla concinna"
-116.92,38.75,"Potentilla concinna"
-106.200211,39.369611,"Potentilla concinna"
-100.233,24.872,"Potentilla concinna"
-105.52433,40.34331,"Potentilla concinna"
-107.616667,37.633333,"Potentilla concinna"
-111.48,38.45,"Potentilla concinna"
-112.18,40,"Potentilla concinna"
-106.18334,37.214835,"Potentilla concinna"
-117.77472,39.51944,"Potentilla concinna"
-116.593419,38.792972,"Potentilla concinna"
-106.322804,39.443043,"Potentilla concinna"
-105.500278,38.9984,"Potentilla concinna"
-105.500277,38.998399,"Potentilla concinna"
-115,40,"Potentilla concinna"
-41.3895,74.720919,"Potentilla concinna"
-117.02083,39.43361,"Potentilla concinna"
-105.605011,39.554232,"Potentilla concinna"
-100,25.6667,"Potentilla concinna"
-100.002572,25.027969,"Potentilla concinna"
-105.00956,38.97849,"Potentilla concinna"
-105.60222,40.35333,"Potentilla concinna"
-99.43722,48.28888,"Potentilla concinna"
-106.3328,37.1137,"Potentilla concinna"
-106.2089,40.3728,"Potentilla concinna"
-106.5499,40.677,"Potentilla concinna"
-106.3604,40.4018,"Potentilla concinna"
-105.771,40.6826,"Potentilla concinna"
-107.5224,38.0043,"Potentilla concinna"
-98.265331,61.392016,"Potentilla concinna"
-106.044,39.1072,"Potentilla concinna"
0,1,"Potentilla concinna"
-105.585,39.9916,"Potentilla concinna"
-107.1388,38.5069,"Potentilla concinna"
-104.9445,40.4785,"Potentilla concinna"
-106.3083,40.9,"Potentilla concinna"
-106.0987,39.3249,"Potentilla concinna"
-107.0661,38.5652,"Potentilla concinna"
-109.47,45.02,"Potentilla concinna"
-100.553,25.374,"Potentilla concinna"
-106.6241,38.2376,"Potentilla concinna"
-105.1333,38.709,"Potentilla concinna"
-106.3363,40.2091,"Potentilla concinna"
